sep=|
- - 2022 AADT Report for Albemarle County - -
LINKID|SEQUENCENUMBER|RTE_NM|RTE_NM_2|RTE_NM_3|RTE_NM_4|Host RTE_NM|Route Label|Street Name|Physical Jurisdiction|Physical Jurisdiciton Name|Maintenance Jurisdiction|Maintenance Jurisdiciton Name|    Start Label|Start Node|Start Node Route Sequence|Star tOffset|Start Milepoint|    End Label|End Node|End Node Route Sequence|End Offset|End Milepoint|    VPDDate|AADT|AADT Quality|Passenger Vehicle|Bus|Truck 2 Axle|Truck 3 Axle|Truck 1 Trailer|Truck 2 Trailer|Class Quality|K Factor|K Factor Quality|Direction Factor|AAWDT|AAWDT Quality|AADT Dir|AADT Quality Dir|PassengerVehicle Dir|Bus Dir|Truck 2 Axle Dir|Truck 3 Axle Dir|Truck 1 Trailer Dir|Truck 2 Trailer Dir|Class Quality Dir|K Factor Dir|K Factor Quality Dir|Direction Factor Dir|AAWDT Dir|AAWDT Quality Dir
780410|0|R-VA   FR00172EB||||R-VA   FR00172EB|FR 172|Little Rock Lane|002|Albemarle County|002|Albemarle County|    US 250 Rockfish Gap Tpke| 111459|0|0|0|    Dead End| 111505|0|0|.05|    08/03/2021|25|R|||||||X||24|||X||||||||||||||
780411|0|R-VA   FR00173EB||||R-VA   FR00173EB|FR 173|Summer Rest Lane|002|Albemarle County|002|Albemarle County|    02-690 Newtown Rd; Greenwood.| 111151|0|0|0|    Dead End| 111506|0|0|.2|    08/03/2021|46|R|||||||X||24|||X||||||||||||||
780412|0|R-VA   FR00174EB||||R-VA   FR00174EB|FR 174|Green Hill Lane|002|Albemarle County|002|Albemarle County|    Dead End| 111507|0|0|0|    02-690 Newtown Rd; Greenwood.| 111152|0|0|.12|    08/03/2021|31|R|||||||X||24|||X||||||||||||||
780413|0|R-VA   FR00175EB||||R-VA   FR00175EB|FR 175|Glentvar Lane|002|Albemarle County|002|Albemarle County|    Dead End| 111508|0|0|0|    02-691 Greenwood Rd| 110351|0|0|.4|    08/03/2021|22|R|||||||X||24|||X||||||||||||||
780414|0|R-VA   FR00177EB||||R-VA   FR00177EB|FR 177|Langford Dr|002|Albemarle County|002|Albemarle County|    Dead End| 111511|0|0|0|    02-637 Dick Woods Rd| 110174|0|0|1.14|    08/31/2021|422|R|||||||X||24|||X||||||||||||||
780415|0|R-VA   FR00178EB||||R-VA   FR00178EB|FR 178|Gold Eagle Dr|002|Albemarle County|002|Albemarle County|    Dead End| 111512|0|0|0|    Jurisdiction Boundary: 002 Albemarle County| 110689|0|0|.3|    08/17/2021|235|R|||||||X||24|||X||||||||||||||
780416|0|R-VA   FR00179EB||||R-VA   FR00179EB|FR 179|Hansens Mtn Rd|002|Albemarle County|002|Albemarle County|    US 250 Richmond Rd| 111412|0|0|0|    | 111513|0|0|.74|    08/31/2021|887|R|||||||X||24|||X||||||||||||||
780418|0|R-VA   FR00181EB||||R-VA   FR00181EB|FR 181|Woodbound Rd|002|Albemarle County|002|Albemarle County|    02-616 Black Cat Rd| 111207|0|0|0|    Dead End| 111515|0|0|.08|    08/05/2021|126|R|||||||X||24|||X||||||||||||||
780419|0|R-VA   FR00182EB||||R-VA   FR00182EB|FR 182|Royal Orchard Dr|062|Nelson County|002|Albemarle County|    US 250 Rockfish Gap Tpke| 111460|0|0|0|    Dead End| 111516|0|0|.29|    08/03/2021|32|R|||||||X||24|||X||||||||||||||
780782|0|R-VA   FR00852NB||||R-VA   FR00852NB|FR 852|Bluebird Lane|002|Albemarle County|002|Albemarle County|    US 250 Rockfish Gap Tpke| 111458|0|0|0|    Dead End| 111517|0|0|.26|    08/03/2021|43|R|||||||X||24|||X||||||||||||||
